Size,SizeRatio,Top1,Top5,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W6,W7,W8,W9
81595520.0,0.09998309212689123,64.06,86.88,6.0,6.0,1.0,6.0,1.0,3.0,5.0,3.0,5.0,8.0,4.0,7.0,5.0,3.0,4.0,3.0,3.0,6.0,6.0,8.0,2.0,5.0,3.0,4.0,1.0,1.0,5.0,6.0,3.0,1.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,6.0,5.0,7.0,3.0,5.0,1.0,3.0,1.0,7.0,1.0,5.0,1.0,6.0,7.0,3.0,2.0
81585344.0,0.0999706229625856,56.91,81.47,1.0,5.0,7.0,7.0,1.0,2.0,2.0,5.0,5.0,6.0,4.0,1.0,4.0,1.0,6.0,3.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,7.0,4.0,7.0,6.0,1.0,5.0,1.0,5.0,7.0,5.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,7.0,1.0,7.0,2.0,7.0,1.0,7.0,1.0
81522240.0,0.0998932984594073,56.99,83.41,3.0,6.0,2.0,7.0,4.0,1.0,4.0,7.0,5.0,7.0,3.0,5.0,4.0,7.0,7.0,4.0,1.0,1.0,3.0,5.0,5.0,1.0,2.0,6.0,6.0,7.0,6.0,3.0,1.0,3.0,2.0,2.0,7.0,7.0,4.0,2.0,7.0,2.0,6.0,3.0,3.0,5.0,4.0,1.0,7.0,3.0,5.0,1.0,1.0,1.0,1.0,7.0,6.0,4.0
81573376.0,0.09995595797060351,60.97,84.14,8.0,2.0,1.0,4.0,7.0,4.0,6.0,5.0,2.0,6.0,5.0,1.0,6.0,1.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,3.0,2.0,5.0,7.0,1.0,6.0,5.0,1.0,1.0,1.0,6.0,1.0,3.0,5.0,1.0,6.0,2.0,4.0,1.0,2.0,5.0,3.0,5.0,2.0,6.0,2.0,2.0,7.0,5.0,1.0
81378880.0,0.09971763224529026,70.96,90.16,3.0,1.0,5.0,1.0,6.0,3.0,2.0,1.0,4.0,5.0,5.0,4.0,6.0,4.0,8.0,2.0,4.0,1.0,5.0,7.0,2.0,1.0,7.0,2.0,2.0,7.0,5.0,4.0,3.0,6.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,7.0,3.0,1.0,7.0,5.0,1.0,1.0,5.0,3.0,2.0,1.0,6.0,6.0,5.0,1.0,8.0,6.0
80810304.0,0.09902092749251537,63.96,86.44,7.0,7.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,5.0,7.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,4.0,7.0,1.0,4.0,5.0,4.0,1.0,1.0,6.0,6.0,4.0,5.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,4.0,6.0,1.0,6.0,4.0,7.0,7.0,6.0
81484928.0,0.09984757819028667,72.1,91.32,6.0,1.0,7.0,5.0,6.0,5.0,2.0,4.0,3.0,4.0,3.0,2.0,7.0,6.0,7.0,1.0,1.0,2.0,4.0,3.0,7.0,6.0,6.0,1.0,5.0,3.0,6.0,3.0,6.0,3.0,1.0,4.0,3.0,6.0,1.0,7.0,1.0,3.0,3.0,1.0,1.0,6.0,6.0,1.0,2.0,1.0,2.0,4.0,5.0,3.0,7.0,3.0,2.0,1.0
80422080.0,0.09854521711089306,63.12,86.1,1.0,1.0,1.0,4.0,6.0,1.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,7.0,6.0,5.0,7.0,2.0,5.0,3.0,6.0,7.0,6.0,7.0,5.0,7.0,7.0,3.0,7.0,7.0,7.0,1.0,7.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,7.0,4.0
80074688.0,0.09811954023132731,51.18,77.97,5.0,4.0,1.0,2.0,4.0,5.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,2.0,6.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,6.0,3.0,4.0,5.0,1.0,5.0,5.0,1.0,3.0,4.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,3.0
80490048.0,0.09862850171776462,53.83,80.2,3.0,1.0,1.0,7.0,3.0,7.0,5.0,6.0,5.0,4.0,2.0,6.0,3.0,5.0,1.0,7.0,5.0,1.0,4.0,4.0,2.0,6.0,1.0,3.0,1.0,1.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,7.0,6.0,3.0,6.0,1.0,6.0,1.0,1.0,1.0,6.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0
